size,delay,rep,interrupted,latency
16777216,0.005,0,True,0.9074088700009452
16777216,0.005,1,True,0.9055463499981852
16777216,0.005,2,True,0.9089349480028613
16777216,0.005,3,True,0.9110133830009727
16777216,0.005,4,True,0.9103133880026871
16777216,0.005,5,True,0.909820743000746
16777216,0.005,6,True,0.9111092340000323
16777216,0.005,7,True,0.924240289999143
16777216,0.005,8,True,0.9218612990017573
16777216,0.005,9,True,0.9281269930007693
16777216,0.005,10,True,0.9259729749984399
16777216,0.005,11,True,0.9272854320016631
16777216,0.005,12,True,0.9231302839990531
16777216,0.005,13,True,0.9235040960021433
16777216,0.005,14,True,0.9239525789972686
16777216,0.005,15,True,0.923166322002653
16777216,0.005,16,True,0.9210719159974542
16777216,0.005,17,True,0.9236354030009534
16777216,0.005,18,True,0.9261446680003428
16777216,0.005,19,True,0.9215789089986356
16777216,0.005,20,True,0.9218897319998359
16777216,0.005,21,True,0.9218564089979918
16777216,0.005,22,True,0.921834799000062
16777216,0.005,23,True,0.9156583219965978
16777216,0.005,24,True,0.9166569590025756
16777216,0.005,25,True,0.917883784998703
16777216,0.005,26,True,0.9175877579992812
16777216,0.005,27,True,0.9207007079977484
16777216,0.005,28,True,0.9190767260016582
16777216,0.005,29,True,0.9109052799986966
16777216,0.005,30,True,0.9302965300022333
16777216,0.005,31,True,0.9264890049972746
16777216,0.005,32,True,0.9222860070013849
16777216,0.005,33,True,0.9202084420004394
16777216,0.005,34,True,0.914498481998744
16777216,0.005,35,True,0.9181665560000692
16777216,0.005,36,True,0.925834775997937
16777216,0.005,37,True,0.9252293079999799
16777216,0.005,38,True,0.9007096309988992
16777216,0.005,39,True,0.9024903370019456
16777216,0.005,40,True,0.9143247559996962
16777216,0.005,41,True,0.9071018629994069
16777216,0.005,42,True,0.9014607120017172
16777216,0.005,43,True,0.922993557001173
16777216,0.005,44,True,0.9293536289998156
16777216,0.005,45,True,0.9099958409980172
16777216,0.005,46,True,0.9248713950011006
16777216,0.005,47,True,0.9363470100007544
16777216,0.005,48,True,0.9257665479973366
16777216,0.005,49,True,0.9268889370006218
16777216,0.005,50,True,0.9275551490001089
16777216,0.005,51,True,0.9147615269986272
16777216,0.005,52,True,0.9190194289995998
16777216,0.005,53,True,0.9098479840005166
16777216,0.005,54,True,0.9223328050003329
16777216,0.005,55,True,0.9275001360011811
16777216,0.005,56,True,0.9239164010006061
16777216,0.005,57,True,0.9255006280010275
16777216,0.005,58,True,0.9175772880017757
16777216,0.005,59,True,0.915486068000173
16777216,0.005,60,True,0.9142241870005091
16777216,0.005,61,True,0.9264665429992601
16777216,0.005,62,True,0.929851443998923
16777216,0.005,63,True,0.927772558000579
16777216,0.005,64,True,0.9296883870020974
16777216,0.005,65,True,0.9270330669979739
16777216,0.005,66,True,0.926758101000014
16777216,0.005,67,True,0.9271858850016724
16777216,0.005,68,True,0.9265227290026087
16777216,0.005,69,True,0.9268459259993688
16777216,0.005,70,True,0.9309447189999628
16777216,0.005,71,True,0.9254045969984145
16777216,0.005,72,True,0.9240700599995034
16777216,0.005,73,True,0.927927619000111
16777216,0.005,74,True,0.9196955790003994
16777216,0.005,75,True,0.9261333369987551
16777216,0.005,76,True,0.917931172997778
16777216,0.005,77,True,0.9029098259971943
16777216,0.005,78,True,0.9068179489996692
16777216,0.005,79,True,0.9189134390008985
16777216,0.005,80,True,0.9105993649983429
16777216,0.005,81,True,0.9219164020006428
16777216,0.005,82,True,0.923795974003151
16777216,0.005,83,True,0.9216066609998234
16777216,0.005,84,True,0.9217283490007685
16777216,0.005,85,True,0.9189190699991013
16777216,0.005,86,True,0.9211784459995397
16777216,0.005,87,True,0.9202610919975268
16777216,0.005,88,True,0.9272210110003652
16777216,0.005,89,True,0.9241278880009486
16777216,0.005,90,True,0.90997006300051
16777216,0.005,91,True,0.919136017998535
16777216,0.005,92,True,0.9240022519999184
16777216,0.005,93,True,0.9210095280005771
16777216,0.005,94,True,0.9210297859982529
16777216,0.005,95,True,0.9211738770001102
16777216,0.005,96,True,0.9211271499999566
16777216,0.005,97,True,0.922309871000034
16777216,0.005,98,True,0.9252720979976584
16777216,0.005,99,True,0.920333827999566
16777216,0.005,100,True,0.9245708810022916
16777216,0.005,101,True,0.9218738530008704
16777216,0.005,102,True,0.9205826660009916
16777216,0.005,103,True,0.9243951310028206
16777216,0.005,104,True,0.9254194750002352
16777216,0.005,105,True,0.9208755460032262
16777216,0.005,106,True,0.9184196509969479
16777216,0.005,107,True,0.9194314829993527
16777216,0.005,108,True,0.9198762789975444
16777216,0.005,109,True,0.9225534900007187
16777216,0.005,110,True,0.9214285650024249
16777216,0.005,111,True,0.923987123999832
16777216,0.005,112,True,0.9223840720015869
16777216,0.005,113,True,0.9190459180000471
16777216,0.005,114,True,0.923949372999341
16777216,0.005,115,True,0.9235066110023763
16777216,0.005,116,True,0.9212720209990221
16777216,0.005,117,True,0.9213750860009168
16777216,0.005,118,True,0.9212719510006718
16777216,0.005,119,True,0.9235028839985898
16777216,0.005,120,True,0.9218711570002779
16777216,0.005,121,True,0.9204869260003034
16777216,0.005,122,True,0.9235089250006422
16777216,0.005,123,True,0.9209472509984334
16777216,0.005,124,True,0.9216316579996783
16777216,0.005,125,True,0.9261307819989452
16777216,0.005,126,True,0.9217947139996977
16777216,0.005,127,True,0.917165784999379
16777216,0.005,128,True,0.923392376001284
16777216,0.005,129,True,0.9203399000008358
16777216,0.005,130,True,0.9217026300003636
16777216,0.005,131,True,0.9218782610015478
16777216,0.005,132,True,0.9223607979994267
16777216,0.005,133,True,0.9208248410005763
16777216,0.005,134,True,0.9210986549998051
16777216,0.005,135,True,0.9230570060000173
16777216,0.005,136,True,0.920607281998964
16777216,0.005,137,True,0.9202049360002275
16777216,0.005,138,True,0.9245113690022845
16777216,0.005,139,True,0.9234948480017192
16777216,0.005,140,True,0.921488649998646
16777216,0.005,141,True,0.9228808149974793
16777216,0.005,142,True,0.9248579699971015
16777216,0.005,143,True,0.9218961849993502
